# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_HRV_00_BHZ
# sample_count: 2400
# sample_rate_hz: 20
# start_time: 2020-11-08T14:10:00.019538Z
# latitude_deg: 42.5064
# longitude_deg: -71.5583
# elevation_m: 200.0
# depth_m: 0.0
# azimuth_deg: 0.0
# dip_deg: -90
# instrument: Streckeisen STS-1VBB w/E300
# scale_factor: 4.24828E9
# scale_frequency_hz: 0.05
# scale_units: m/s
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2020-11-08T14:10:00.019538Z, 2236
2020-11-08T14:10:00.069538Z, 2353
2020-11-08T14:10:00.119538Z, 2639
2020-11-08T14:10:00.169538Z, 2847
2020-11-08T14:10:00.219538Z, 3108
2020-11-08T14:10:00.269538Z, 3334
2020-11-08T14:10:00.319538Z, 3438
2020-11-08T14:10:00.369538Z, 3656
2020-11-08T14:10:00.419538Z, 3885
2020-11-08T14:10:00.469538Z, 4122
2020-11-08T14:10:00.519538Z, 4384
2020-11-08T14:10:00.569538Z, 4558
2020-11-08T14:10:00.619538Z, 4769
2020-11-08T14:10:00.669538Z, 5095
2020-11-08T14:10:00.719538Z, 5326
2020-11-08T14:10:00.769538Z, 5504
2020-11-08T14:10:00.819538Z, 5749
2020-11-08T14:10:00.869538Z, 6015
2020-11-08T14:10:00.919538Z, 6248
2020-11-08T14:10:00.969538Z, 6439
2020-11-08T14:10:01.019538Z, 6610
2020-11-08T14:10:01.069538Z, 6728
2020-11-08T14:10:01.119538Z, 7084
2020-11-08T14:10:01.169538Z, 7383
2020-11-08T14:10:01.219538Z, 7480
2020-11-08T14:10:01.269538Z, 7763
2020-11-08T14:10:01.319538Z, 7846
2020-11-08T14:10:01.369538Z, 7975
2020-11-08T14:10:01.419538Z, 8085
2020-11-08T14:10:01.469538Z, 8139
2020-11-08T14:10:01.519538Z, 8382
2020-11-08T14:10:01.569538Z, 8349
2020-11-08T14:10:01.619538Z, 8470
2020-11-08T14:10:01.669538Z, 8569
2020-11-08T14:10:01.719538Z, 8577
2020-11-08T14:10:01.769538Z, 8609
2020-11-08T14:10:01.819538Z, 8395
2020-11-08T14:10:01.869538Z, 8380
2020-11-08T14:10:01.919538Z, 8309
2020-11-08T14:10:01.969538Z, 8205
2020-11-08T14:10:02.019538Z, 8235
2020-11-08T14:10:02.069538Z, 8110
2020-11-08T14:10:02.119538Z, 8005
2020-11-08T14:10:02.169538Z, 7881
2020-11-08T14:10:02.219538Z, 7688
2020-11-08T14:10:02.269538Z, 7512
2020-11-08T14:10:02.319538Z, 7301
2020-11-08T14:10:02.369538Z, 7197
2020-11-08T14:10:02.419538Z, 7088
2020-11-08T14:10:02.469538Z, 6943
2020-11-08T14:10:02.519538Z, 6851
2020-11-08T14:10:02.569538Z, 6563
2020-11-08T14:10:02.619538Z, 6360
2020-11-08T14:10:02.669538Z, 6330
2020-11-08T14:10:02.719538Z, 6097
2020-11-08T14:10:02.769538Z, 5926
2020-11-08T14:10:02.819538Z, 5831
2020-11-08T14:10:02.869538Z, 5724
2020-11-08T14:10:02.919538Z, 5615
2020-11-08T14:10:02.969538Z, 5324
2020-11-08T14:10:03.019538Z, 5179
2020-11-08T14:10:03.069538Z, 5040
2020-11-08T14:10:03.119538Z, 4852
2020-11-08T14:10:03.169538Z, 4708
2020-11-08T14:10:03.219538Z, 4468
2020-11-08T14:10:03.269538Z, 4330
2020-11-08T14:10:03.319538Z, 4017
2020-11-08T14:10:03.369538Z, 3764
2020-11-08T14:10:03.419538Z, 3632
