# dataset: GeoCSV 2.0
# delimiter: ,
# SID: TA_M65A__BHZ
# sample_count: 4801
# sample_rate_hz: 40
# start_time: 2020-11-08T14:10:00.000000Z
# latitude_deg: 41.562
# longitude_deg: -70.646599
# elevation_m: 22.0
# depth_m: 0.0
# azimuth_deg: 0.0
# dip_deg: -90
# instrument: Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co
# scale_factor: 6.27192E8
# scale_frequency_hz: 0.2
# scale_units: M/S
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2020-11-08T14:10:00.000000Z, 2701
2020-11-08T14:10:00.025000Z, 2659
2020-11-08T14:10:00.050000Z, 2562
2020-11-08T14:10:00.075000Z, 2499
2020-11-08T14:10:00.100000Z, 2578
2020-11-08T14:10:00.125000Z, 2491
2020-11-08T14:10:00.150000Z, 2299
2020-11-08T14:10:00.175000Z, 2165
2020-11-08T14:10:00.200000Z, 2115
2020-11-08T14:10:00.225000Z, 2261
2020-11-08T14:10:00.250000Z, 2352
2020-11-08T14:10:00.275000Z, 2206
2020-11-08T14:10:00.300000Z, 2272
2020-11-08T14:10:00.325000Z, 2373
2020-11-08T14:10:00.350000Z, 2308
2020-11-08T14:10:00.375000Z, 2392
2020-11-08T14:10:00.400000Z, 2377
2020-11-08T14:10:00.425000Z, 2449
2020-11-08T14:10:00.450000Z, 2558
2020-11-08T14:10:00.475000Z, 2379
2020-11-08T14:10:00.500000Z, 2414
2020-11-08T14:10:00.525000Z, 2493
2020-11-08T14:10:00.550000Z, 2312
2020-11-08T14:10:00.575000Z, 2276
2020-11-08T14:10:00.600000Z, 2324
2020-11-08T14:10:00.625000Z, 2314
2020-11-08T14:10:00.650000Z, 2400
2020-11-08T14:10:00.675000Z, 2421
2020-11-08T14:10:00.700000Z, 2301
2020-11-08T14:10:00.725000Z, 2274
2020-11-08T14:10:00.750000Z, 2256
2020-11-08T14:10:00.775000Z, 2185
2020-11-08T14:10:00.800000Z, 2301
2020-11-08T14:10:00.825000Z, 2374
2020-11-08T14:10:00.850000Z, 2370
2020-11-08T14:10:00.875000Z, 2462
2020-11-08T14:10:00.900000Z, 2378
2020-11-08T14:10:00.925000Z, 2316
2020-11-08T14:10:00.950000Z, 2422
2020-11-08T14:10:00.975000Z, 2406
2020-11-08T14:10:01.000000Z, 2346
2020-11-08T14:10:01.025000Z, 2356
2020-11-08T14:10:01.050000Z, 2406
2020-11-08T14:10:01.075000Z, 2417
2020-11-08T14:10:01.100000Z, 2240
2020-11-08T14:10:01.125000Z, 2204
2020-11-08T14:10:01.150000Z, 2434
2020-11-08T14:10:01.175000Z, 2457
2020-11-08T14:10:01.200000Z, 2471
2020-11-08T14:10:01.225000Z, 2626
2020-11-08T14:10:01.250000Z, 2572
2020-11-08T14:10:01.275000Z, 2407
2020-11-08T14:10:01.300000Z, 2286
2020-11-08T14:10:01.325000Z, 2341
2020-11-08T14:10:01.350000Z, 2594
2020-11-08T14:10:01.375000Z, 2647
2020-11-08T14:10:01.400000Z, 2499
2020-11-08T14:10:01.425000Z, 2540
