# Day  Value
688239 31.435000
688241 30.661400
688242 30.508700
688243 30.824000
688244 30.503800
688245 30.922600
688246 31.144300
688248 30.794500
688249 30.656500
688250 30.656500
688251 30.656500
688252 30.873300
688253 31.031000
688255 31.095000
688256 31.100000
688257 30.942300
688258 31.124600
688259 31.361100
688260 31.484300
688262 31.065500
688263 31.193600
688264 31.026000
688265 30.917600
688266 30.686100
688269 30.538300
688270 30.715600
688271 30.907800
688272 30.710700
688273 30.469300
688274 30.548100
688276 30.415100
688277 30.513600
688278 30.587500
688279 30.863400
688280 31.021100
688281 31.050700
688283 31.292100
688284 31.183700
688285 31.183700
688286 31.370900
688287 31.597600
688288 31.853800
688290 31.439900
688291 31.375900
688292 31.720800
688293 31.523700
688294 31.306900
688295 31.100000
688297 30.794500
688298 30.725500
688299 30.523500
688300 30.296800
688301 30.626900
688304 30.626900
688305 30.518600
688306 31.031000
688307 31.095000
688308 31.095000
688309 31.701100
688311 32.139600
688312 32.277500
688313 32.735800
688314 32.563300
688315 32.996900
688316 33.430500
688318 32.903300
688319 32.918100
688320 33.430500
688321 33.923200
688322 33.479700
688323 32.977200
688325 33.115100
688326 33.189000
688327 33.524100
688328 33.479700
688329 33.578300
688330 33.450200
688332 33.312200
688333 33.410800
688334 33.331900
688335 33.494500
688336 33.780300
688339 33.918300
688340 33.854200
688341 34.268100
688342 34.041400
688343 34.445500
688344 34.849500
688346 35.524500
688347 34.736200
688348 35.248600
688349 34.948000
688350 34.997300
688351 35.135300
688353 34.775600
688354 34.450400
688355 34.583400
688356 35.021900
688357 34.785400
688358 34.243400
688360 34.268100
688361 34.041400
688362 34.287800
688363 34.144900
688364 34.031600
688365 33.721200
688367 32.972300
688368 33.238300
688369 33.381200
688370 33.065900
688371 33.169300
688372 33.307300
688374 33.691600
688375 33.543800
688376 33.873900
688377 33.760600
688378 34.031600
688379 34.263200
688381 33.893600
688382 33.942900
688383 33.972500
688384 33.790200
688385 33.632500
688386 33.642300
688388 34.159700
688389 34.100600
688390 34.332100
688391 34.263200
688392 33.957700
688393 34.598200
688395 34.948000
688396 35.002200
688397 35.672300
688398 35.687100
688399 35.810300
688400 36.199500
688402 36.238900
688403 36.465600
688404 36.613400
688405 36.253700
688406 36.790800
688407 37.308100
688409 37.672700
688410 38.091500
688411 38.101400
688412 37.396800
688413 37.608700
688414 37.761400
688416 37.165200
688417 37.638200
688418 37.889500
688419 37.662900
688420 38.135900
688421 38.554700
688423 38.549700
688425 38.254100
688426 38.781300
688427 38.436400
688428 38.845400
688430 38.628600
688431 38.943900
688432 39.540100
688433 39.500700
688434 39.816000
688435 39.481000
688437 39.717500
688438 40.220000
688439 40.338300
688440 40.771900
688441 40.436800
688442 39.875100
688444 39.293700
688445 40.407300
688446 40.210200
688448 39.604200
688449 39.786500
688451 39.569700
688452 39.214900
688453 39.338100
688454 39.387400
688455 39.550000
